A,B,C,D,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,Mai und im Jahr 2025 (Januar - Mai),...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,Row,Region,Name
NA,NA,T42,Obermain Jura,NA,17,22953,-0.6,581,-4.8,23534,-0.7,67052,-3.7,1316,-29.9,68368,-4.4000000000000004,83,3659,50.9,2.9,76811,-1.4,2326,-3.1,79137,-1.5,234985,-1.2,5800,-20.399999999999999,240785,-1.8,39.700000000000003,3,NA,NA,T42,Obermain Jura,33,T42,NA
NA,NA,T43,Coburg Rennsteig,NA,18,14967,-1.9,1216,6.5,16183,-1.3,40869,-3.3,3201,21.2,44070,-1.9,53,2736,46.4,2.7,52178,-3.4,4285,-7.4,56463,-3.7,159208,-3.8,10684,0.1,169892,-3.5,38.6,3,NA,NA,T43,Coburg Rennsteig,34,T43,NA
NA,dav.,T15,Bayerischer Wald,NA,158,156344,-13.5,13181,12.8,169525,-11.9,521614,-17.399999999999999,33742,13,555356,-16,1120,46375,36,3.3,640269,-1.5,44575,16.8,684844,-0.5,2194815,-4.4000000000000004,119351,12.1,2314166,-3.7,32.9,3.4,NA,dav.,T15,Bayerischer Wald,37,T15,dav.
NA,NA,T16,Oberpfälzer Wald 3)…………….................................,NA,98,37661,-3.7,3245,-6.2,40906,-3.9,96913,-12.3,10950,-3.7,107863,-11.5,275,8820,32.299999999999997,2.6,126829,-3.5,13487,-7.4,140316,-3.9,323559,-5.5,47937,-12.3,371496,-6.4,25.9,2.6,NA,NA,T16,Oberpfälzer Wald 3),38,T16,NA
NA,NA,T20,Regensburg,NA,1,59046,5.6,14684,6.3,73730,5.8,101045,-2.2000000000000002,28656,1,129701,-1.5,79,8596,46.1,1.8,210130,1.4,55749,11.8,265879,3.4,370046,-1.2,108652,3.2,478698,-0.2,35.799999999999997,1.8,NA,NA,T20,Regensburg,39,T20,NA
NA,NA,T40,Bayerischer Jura  1)4)...........................................,NA,67,55044,8.1,6217,-13,61261,5.5,107331,0.3,15351,-6.7,122682,-0.6,240,9722,35.4,2,167817,5.0999999999999996,24455,-13,192272,2.4,338179,2.7,65321,-9,403500,0.6,26.5,2.1,NA,NA,T40,Bayerischer Jura  1)4),40,T40,NA
NA,NA,T41,Bayerisches Thermenland,NA,160,144013,2.9,23144,1.8,167157,2.7,557627,1.3,62966,9.5,620593,2.1,667,37355,48.7,3.7,556149,1,86945,7.3,643094,1.8,2146040,-0.6,244933,6.8,2390973,0.1,41.2,3.7,NA,NA,T41,Bayerisches Thermenland,41,T41,NA
NA,dav.,T21,Allgäu,NA,147,289252,-9.8000000000000007,63030,3.6,352282,-7.7,983874,-15.5,134936,0.1,1118810,-13.9,1955,70757,44.2,3.2,1129418,-1.2,234212,5.3,1363630,-0.1,3999762,-3.5,535299,2.5,4535061,-2.8,40.200000000000003,3.3,NA,dav.,T21,Allgäu,44,T21,dav.
NA,NA,T22,Bayerisch-Schwaben 2)………...........…….........….,NA,193,152967,2,56966,3.5,209933,2.4,286430,1.5,99420,1.8,385850,1.6,392,25805,43.1,1.8,538576,-1,183343,0.6,721919,-0.6,1025793,-2.9,324332,0.5,1350125,-2.1,35.4,1.9,NA,NA,T22,Bayerisch-Schwaben 2),45,T22,NA
NA,dav.,T23,Landeshauptstadt München,NA,1,472316,3,335905,9.8000000000000007,808221,5.7,956224,0,777495,7.2,1733719,3.1,471,98929,56.2,2.1,2070180,3.3,1292701,4.0999999999999996,3362881,3.6,4179492,3.2,2961979,3.9,7141471,3.5,48.2,2.1,NA,dav.,T23,Landeshauptstadt München,48,T23,dav.
NA,NA,T24,Münchener Umland,NA,119,203303,9,88851,15,292154,10.7,386779,4,170408,4.2,557187,4.0999999999999996,448,39611,45.1,1.9,827394,5.3,359457,7.7,1186851,6,1640994,3.1,699249,7.9,2340243,4.5,39.5,2,NA,NA,T24,Münchener Umland,49,T24,NA
NA,NA,T25,Oberbayerns Städte,NA,38,44315,13.7,11337,9.1,55652,12.7,80053,13.4,21276,10.199999999999999,101329,12.7,144,8141,38.6,1.8,171660,2.2999999999999998,52154,5.3,223814,3,316445,2.7,94908,3.8,411353,2.9,33.5,1.8,NA,NA,T25,Oberbayerns Städte,50,T25,NA
NA,NA,T26,Ammersee-Lech,NA,31,11819,-0.2,2292,24.2,14111,3.1,27613,1.3,3608,0,31221,1.1000000000000001,38,1798,44.7,2.2000000000000002,37505,-2.5,6407,27.9,43912,1,89449,-10.199999999999999,10960,10.7,100409,-8.3000000000000007,34.6,2.2999999999999998,NA,NA,T26,Ammersee-Lech,51,T26,NA
NA,NA,T27,StarnbergAmmersee,NA,14,25121,6.1,4081,16.100000000000001,29202,7.4,62435,-4.2,10430,6.6,72865,-2.8,75,4196,47.3,2.5,83605,-0.8,13693,9.1,97298,0.5,206938,-0.4,36762,-0.2,243700,-0.4,36,2.5,NA,NA,T27,StarnbergAmmersee,52,T27,NA
NA,NA,T28,Pfaffenwinkel,NA,34,18677,9.1,2165,-11.2,20842,6.5,57223,-1,5078,-7.2,62301,-1.6,75,3453,52.7,3,58145,-1.2,6102,-7.5,64247,-1.8,206705,-2.9,15070,-3.7,221775,-3,42,3.5,NA,NA,T28,Pfaffenwinkel,53,T28,NA
NA,NA,T29,Zugspitz-Region,NA,22,81182,-6.5,17116,1.7,98298,-5.2,242119,-11.5,41750,8.9,283869,-9,508,19847,41.2,2.9,314775,3.7,57318,6.8,372093,4.2,1011700,2.2000000000000002,161287,5.6,1172987,2.7,37.799999999999997,3.2,NA,NA,T29,Zugspitz-Region,54,T29,NA
NA,NA,T30,Tölzer Land,NA,21,39675,-0.3,3142,4.4000000000000004,42817,0,111522,-5.8,8062,9,119584,-5,220,7398,42.8,2.8,121032,-1.8,10516,9.9,131548,-1,370078,-4.5,30560,23.5,400638,-2.9,33.6,3,NA,NA,T30,Tölzer Land,55,T30,NA
NA,NA,T31,Alpenregion Tegernsee Schliersee,NA,17,63728,-1,8639,33.799999999999997,72367,2.2000000000000002,187891,-6.1,19831,40.700000000000003,207722,-3,363,14825,43.5,2.9,226555,-2,32719,28,259274,1,692353,-2.4,73879,32.299999999999997,766232,0.1,35.700000000000003,3,NA,NA,T31,Alpenregion Tegernsee Schliersee,56,T31,NA
NA,NA,T33,Ebersberger Grünes Land,NA,21,12203,1.5,3283,10.9,15486,3.4,26268,-1.1000000000000001,8530,21.5,34798,3.7,57,2735,41,2.2000000000000002,45899,-12,13038,-1.6,58937,-9.9,112310,-3.5,34993,21.4,147303,1.4,35.299999999999997,2.5,NA,NA,T33,Ebersberger Grünes Land,57,T33,NA
NA,NA,T34,Inn-Salzach,NA,55,19611,8.4,4245,27.8,23856,11.5,38913,2.8,9308,18,48221,5.4,100,3802,40.200000000000003,2,66920,0.2,13571,14.3,80491,2.2999999999999998,138613,-4.7,34759,13.2,173372,-1.6,30.5,2.2000000000000002,NA,NA,T34,Inn-Salzach,58,T34,NA
NA,NA,T37,Berchtesgadener Land,NA,15,60894,-9,14746,1.9,75640,-7.1,234078,-10.9,32288,0.8,266366,-9.6999999999999993,439,15922,50.9,3.5,201255,-2.4,41297,-4,242552,-2.6,795026,-4.7,88989,-6.5,884015,-4.9000000000000004,39.200000000000003,3.6,NA,NA,T37,Berchtesgadener Land,59,T37,NA
NA,NA,T38,Chiemsee-Alpenland,NA,47,87534,4.9000000000000004,12557,8.8000000000000007,100091,5.4,242461,-0.3,23884,3.3,266345,0,370,16759,46.5,2.7,292153,1.5,58760,15.4,350913,3.6,853774,-1.3,99733,6.5,953507,-0.5,37.6,2.7,NA,NA,T38,Chiemsee-Alpenland,60,T38,NA
NA,NA,T39,Chiemsee-Chiemgau,NA,35,65093,-12.9,7819,3.9,72912,-11.4,210751,-25,18262,-1.4,229013,-23.5,572,17842,33.6,3.1,234072,-0.8,28129,4.8,262201,-0.2,836237,-5.5,77979,-2.9,914216,-5.3,32.1,3.5,NA,NA,T39,Chiemsee-Chiemgau,61,T39,NA
